"","lon","lat","sif"
"132",-51.27,-20.37,0.132654190063477
"133",-51.25,-21.86,0.519307136535645
"134",-51.25,-21.21,0.184804916381836
"135",-51.25,-21.08,0.437763214111328
"136",-51.24,-21.83,0.323268890380859
"137",-51.24,-21.65,0.31507396697998
"138",-51.24,-20.49,0.231256484985352
"139",-51.23,-21.36,0.212898254394531
"140",-51.23,-20.56,0.0200214385986328
"141",-51.23,-20.38,0.18690013885498
"142",-51.23,-20.35,0.292470932006836
"143",-51.22,-21.94,0.0229864120483398
"144",-51.22,-20.76,0.0277223587036133
"145",-51.22,-20.52,0.0515823364257812
"146",-51.21,-21.58,0.0970888137817383
"147",-51.21,-21.15,0.815499305725098
"148",-51.21,-20.35,0.148451805114746
"149",-51.2,-21.62,0.0879764556884766
"150",-51.19,-21.79,0.403094291687012
"151",-51.19,-21.6,0.336121559143066
"152",-51.19,-21.15,0.131284713745117
"153",-51.19,-20.9,0.168449401855469
"154",-51.18,-22.03,0.158780097961426
"155",-51.18,-20.97,0.406991004943848
"156",-51.18,-20.92,0.146552085876465
"157",-51.18,-20.54,0.290102005004883
"158",-51.17,-21.72,0.524222373962402
"159",-51.17,-21.64,0.228972434997559
"160",-51.17,-20.99,0.0548772811889648
"161",-51.17,-20.52,0.139265060424805
"162",-51.16,-22.03,0.13438606262207
"163",-51.16,-21.31,0.140028953552246
"164",-51.16,-21.1,0.358759880065918
"165",-51.16,-20.72,0.267187118530273
"166",-51.15,-22.43,0.386832237243652
"167",-51.15,-21.99,0.385760307312012
"168",-51.15,-21.94,0.314589500427246
"169",-51.15,-21.91,0.085322380065918
"170",-51.15,-21.77,0.186939239501953
"171",-51.15,-20.89,0.416754722595215
"172",-51.15,-20.86,0.26569938659668
"173",-51.15,-20.79,0.0666913986206055
"174",-51.15,-20.74,0.20682430267334
"175",-51.14,-21.85,0.720308303833008
"176",-51.14,-21.77,0.344136238098145
"177",-51.14,-21.5,0.43195629119873
"178",-51.14,-21.19,0.212581634521484
"179",-51.14,-21.15,0.292780876159668
"180",-51.14,-20.95,0.282161712646484
"181",-51.14,-20.57,0.0129241943359375
"182",-51.14,-20.56,0.413636207580566
"183",-51.14,-20.43,0.521249771118164
"184",-51.13,-22.52,0.527803421020508
"185",-51.13,-21.95,0.112797737121582
"186",-51.13,-21.4,0.153532981872559
"187",-51.13,-21.3,0.568889617919922
"188",-51.13,-21.23,0.602296829223633
"189",-51.13,-21.17,0.199484825134277
"190",-51.13,-20.85,0.0220975875854492
"191",-51.12,-21.93,0.135085105895996
"192",-51.12,-21.79,0.465005874633789
"193",-51.12,-21.22,0.618816375732422
"194",-51.12,-21,0.0758752822875977
"195",-51.12,-20.97,0.136849403381348
"196",-51.12,-20.87,0.248210906982422
"197",-51.11,-22.16,0.236574172973633
"198",-51.11,-21.79,0.273296356201172
"199",-51.11,-21.61,0.559151649475098
"200",-51.11,-21.34,0.278708457946777
"201",-51.11,-21,0.0135211944580078
"202",-51.1,-22.3,0.126796722412109
"203",-51.1,-21.28,0.388136863708496
"204",-51.1,-21.06,0.178573608398438
"205",-51.1,-21.03,0.636812210083008
"206",-51.1,-20.76,0.550453186035156
"207",-51.1,-20.75,0.102131843566895
"208",-51.1,-20.56,0.37421703338623
"209",-51.09,-21.12,0.253056526184082
"210",-51.09,-21.06,0.115119934082031
"211",-51.09,-21.02,0.222993850708008
"212",-51.09,-20.76,0.374417304992676
"213",-51.08,-22.41,0.100743293762207
"214",-51.08,-22.28,0.168910026550293
"215",-51.08,-21.1,0.390644073486328
"216",-51.08,-20.92,0.190383911132812
"217",-51.08,-20.86,0.343954086303711
"218",-51.06,-22.52,0.12555980682373
"219",-51.06,-22.42,0.269950866699219
"220",-51.06,-22.1,0.187921524047852
"221",-51.06,-21.69,0.497779846191406
"222",-51.06,-21.68,0.336277961730957
"223",-51.05,-21.14,0.0601596832275391
"224",-51.05,-21.13,0.0260047912597656
"225",-51.05,-21.06,0.183761596679688
"226",-51.05,-20.98,0.209152221679688
"227",-51.04,-22.53,0.453725814819336
"228",-51.04,-21.92,0.0138654708862305
"229",-51.04,-21.56,0.871261596679688
"230",-51.04,-21.41,0.113036155700684
"231",-51.04,-21.35,0.45759391784668
"232",-51.04,-20.96,0.128801345825195
"233",-51.02,-21.57,0.773548126220703
"234",-51.01,-21.43,0.198207855224609
"235",-51.01,-21.34,0.129128456115723
"236",-51.01,-21.21,0.401982307434082
"237",-51,-21.31,0.465216636657715
"238",-51,-21.2,0.470666885375977
"239",-50.99,-22.1,0.394191741943359
"240",-50.99,-21.93,0.171648025512695
"241",-50.99,-21.62,0.300663948059082
"242",-50.99,-21.58,0.239233016967773
"243",-50.99,-21.55,0.25126838684082
"244",-50.99,-21.49,0.0836887359619141
"245",-50.99,-21.37,0.170295715332031
"246",-50.99,-21.27,0.10369873046875
"247",-50.99,-21.25,0.254861831665039
"248",-50.98,-21.88,0.258965492248535
"249",-50.98,-21.66,0.209242820739746
"250",-50.98,-21.42,0.123708724975586
"251",-50.98,-21.28,0.130063056945801
"252",-50.98,-21.2,0.639049530029297
"253",-50.97,-21.86,0.717552185058594
"254",-50.97,-21.62,0.159730911254883
"255",-50.96,-21.61,0.10863208770752
"256",-50.96,-21.38,0.116401672363281
"257",-50.96,-21.32,0.208456039428711
"258",-50.96,-21.25,0.152849197387695
"259",-50.96,-21.1,0.68165397644043
"260",-50.95,-22.28,0.482200622558594
"261",-50.95,-22.22,0.618693351745605
"262",-50.95,-21.32,0.649995803833008
"263",-50.94,-22.17,0.286014556884766
"264",-50.94,-21.87,0.253761291503906
"265",-50.94,-21.69,0.190421104431152
"266",-50.93,-22.36,0.0592746734619141
"267",-50.93,-22.17,0.32672119140625
"268",-50.93,-21.93,0.348787307739258
"269",-50.93,-21.4,0.650935173034668
"270",-50.92,-22.43,0.16912841796875
"271",-50.92,-22.31,0.581591606140137
"272",-50.92,-21.98,0.205314636230469
"273",-50.92,-21.87,0.425053596496582
"274",-50.92,-21.83,0.405553817749023
"275",-50.92,-21.81,0.250116348266602
"276",-50.92,-21.77,0.301870346069336
"277",-50.91,-22.31,0.248079299926758
"278",-50.91,-22.18,0.352373123168945
"279",-50.91,-21.73,0.133008003234863
"280",-50.9,-21.89,0.0186233520507812
"281",-50.9,-21.66,0.0561075210571289
"282",-50.9,-21.52,0.335375308990479
"283",-50.9,-21.5,0.400490760803223
"284",-50.89,-22.54,0.482151031494141
"285",-50.89,-21.82,0.308051109313965
"286",-50.89,-21.81,0.0360727310180664
"287",-50.88,-22.23,0.271673202514648
"288",-50.88,-22.03,0.0234127044677734
"289",-50.88,-22.02,0.0247430801391602
"290",-50.88,-21.88,0.862676620483398
"291",-50.88,-21.87,0.341636657714844
"292",-50.88,-21.53,0.306863784790039
"293",-50.87,-22.68,0.285662651062012
"294",-50.87,-22.08,1.52193069458008
