"","lon","lat","xco2"
"1",-53.06,-22.6,392.667585181178
"2",-53.04,-22.6,391.90365450735
"3",-53.04,-22.58,391.410299409694
"4",-53.03,-22.59,390.550696128444
"5",-52.75,-22.54,390.600180063991
"6",-52.74,-22.59,390.560661001491
"7",-52.74,-22.52,391.455938130397
"8",-52.73,-22.39,390.914866997585
"9",-52.72,-22.54,390.426359868678
"10",-52.72,-22.52,390.707532974147
"11",-52.7,-22.5,389.256772485866
"12",-52.7,-22.43,388.388241011257
"13",-52.69,-22.59,388.574371323757
"14",-52.69,-22.57,389.802840571804
"15",-52.69,-22.46,388.731602212428
"16",-52.69,-22.39,388.685871021022
"17",-52.68,-22.48,390.800976597194
"18",-52.67,-22.54,390.374579468288
"19",-52.67,-22.36,391.418840464382
"20",-52.66,-22.59,391.742470073757
"21",-52.66,-22.34,391.029137720241
"22",-52.65,-22.48,389.453602935085
"23",-52.65,-22.39,390.745974243678
"24",-52.64,-22.45,394.175328452663
"25",-52.64,-22.43,391.530941860866
"26",-52.63,-22.41,392.177646587428
"27",-52.63,-22.39,391.34226513235
"28",-52.63,-22.31,393.236366733913
"29",-52.62,-22.41,391.41587473196
"30",-52.62,-22.31,393.1016090386
"31",-52.61,-22.39,390.189868276882
"32",-52.61,-22.33,393.797089985866
"33",-52.6,-22.46,391.279492876491
"34",-52.6,-22.4,392.965687349147
"35",-52.59,-22.32,392.3793427886
"36",-52.58,-22.34,393.894953130397
"37",-52.57,-22.38,391.773006089382
"38",-52.54,-22.54,393.989309155788
"39",-52.52,-22.29,391.222052026882
"40",-52.51,-22.37,392.538688960475
"41",-52.48,-22.33,393.649818120632
"42",-52.47,-22.51,392.795557817897
"43",-52.47,-22.26,395.30056582571
"44",-52.46,-22.51,393.481295728054
"45",-52.46,-22.42,392.676621685085
"46",-52.46,-22.32,391.432578184108
"47",-52.46,-22.26,390.369169429225
"48",-52.46,-22.22,390.009107183132
"49",-52.45,-22.57,392.828731626491
"50",-52.45,-22.43,394.071008276882
"51",-52.45,-22.26,389.14395763235
"52",-52.45,-22.24,390.264333618678
"53",-52.44,-22.37,389.277802114772
"54",-52.44,-22.34,390.036933687038
"55",-52.44,-22.33,393.785713657741
"56",-52.44,-22.32,393.45622926321
"57",-52.44,-22.2,391.634129771022
"58",-52.43,-22.43,393.809083833522
"59",-52.43,-22.33,391.244641460475
"60",-52.43,-22.32,393.420227212428
"61",-52.43,-22.31,391.647579702663
"62",-52.43,-22.28,390.799552105007
"63",-52.43,-22.24,390.270451021022
"64",-52.42,-22.55,394.267444399928
"65",-52.42,-22.5,390.558197710475
"66",-52.42,-22.48,394.605089683132
"67",-52.42,-22.37,391.689879468288
"68",-52.42,-22.32,391.809844370632
"69",-52.42,-22.25,394.572255894069
"70",-52.42,-22.23,391.10990395071
"71",-52.42,-22.21,391.006044702663
"72",-52.41,-22.52,393.522044624538
"73",-52.41,-22.5,392.881615747585
"74",-52.41,-22.45,393.308511929225
"75",-52.41,-22.39,393.114387661647
"76",-52.41,-22.38,389.748306362819
"77",-52.41,-22.35,391.269994839382
"78",-52.41,-22.34,392.748397827663
"79",-52.41,-22.27,393.749004272975
"80",-52.41,-22.19,391.001132192897
"81",-52.4,-22.33,389.235768774928
"82",-52.4,-22.18,390.310863022975
"83",-52.39,-22.48,392.516129302272
"84",-52.39,-22.25,388.5850056011
"85",-52.39,-22.23,391.661120376491
"86",-52.39,-22.18,392.359707935084
"87",-52.38,-22.52,390.621972720241
"88",-52.38,-22.5,389.07257941946
"89",-52.38,-22.48,388.120201499538
"90",-52.38,-22.25,390.098788823757
"91",-52.38,-22.2,391.240025923366
"92",-52.38,-22.16,392.524831548366
"93",-52.38,-22.15,390.101053057155
"94",-52.37,-22.55,391.475517271022
"95",-52.37,-22.28,393.984824995632
"96",-52.37,-22.14,391.807374878444
"97",-52.36,-22.45,392.35905426321
"98",-52.36,-22.35,393.146925376491
"99",-52.36,-22.29,390.956775874538
"100",-52.36,-22.24,391.482238140163
"101",-52.36,-22.23,391.236842417507
"102",-52.35,-22.35,392.399924028835
"103",-52.35,-22.33,390.598691743678
"104",-52.35,-22.32,391.945023755397
"105",-52.35,-22.31,391.764317368678
"106",-52.35,-22.12,393.663190317897
"107",-52.34,-22.24,391.894996313991
"108",-52.34,-22.22,391.58338825735
"109",-52.34,-22.12,390.487314448757
"110",-52.34,-22.11,391.465060649928
"111",-52.34,-22.1,392.417210708522
"112",-52.33,-22.49,390.516496040554
"113",-52.33,-22.26,393.218467983913
"114",-52.33,-22.13,392.125591040554
"115",-52.32,-22.36,391.154680718288
"116",-52.32,-22.32,392.395958423366
"117",-52.32,-22.3,391.812470054225
"118",-52.32,-22.17,392.421232300319
"119",-52.32,-22.12,394.239032808132
"120",-52.3,-22.56,393.4703624761
"121",-52.3,-22.32,392.361169380397
"122",-52.29,-22.32,392.635102095241
"123",-52.29,-22.3,390.674659605007
"124",-52.29,-22.21,392.399069810085
"125",-52.28,-22.33,392.62118707571
"126",-52.28,-22.32,393.365761880397
"127",-52.28,-22.31,390.639382280788
"128",-52.28,-22.25,392.245742769069
"129",-52.27,-22.36,393.293534702663
"130",-52.27,-22.28,393.478850894069
"131",-52.27,-22.22,393.29918598196
"132",-52.26,-22.35,392.075998472194
"133",-52.25,-22.49,392.696194058132
"134",-52.25,-22.3,393.682205376491
"135",-52.23,-22.4,391.142377417507
"136",-52.22,-22.54,392.430330347194
"137",-52.22,-22.44,391.4837549761
"138",-52.22,-22.36,390.738530376491
"139",-52.21,-22.5,393.75432754446
"140",-52.2,-22.44,391.775205776882
"141",-51.56,-20.64,391.520729429225
