"","ano","mes","XCO2","xco2_sd","XCO2adj","xco2_adj_sd","SIF_757","SIF_757sd","GPP","NDVI","ndvi_sd","LAI","lai_sd","LST","lst_sd","Qg","Qg_sd","Prec","Temp","temp_sd","RH","RH_sd"
"1",2015,1,396.108919233244,1.49572188089772,390.14716593786,1.47282553404825,0.365669778391449,0.232916373516941,11.9996,0.648944370860927,0.111994518101415,2.59215019590444,1.29404846914988,31.2028472880673,3.97150670863621,25.3154838709677,3.94427490828096,69.7172368421053,26.3787606112054,1.49791074914721,63.2753522920204,8.02440474424814
"2",2015,2,396.696588464685,1.35836516764182,390.621540169301,1.35856652801752,0.36732692540249,0.210930159048677,11.7034,0.685982068275862,0.108392372082471,2.53104696245487,1.35405055713937,30.018534991682,3.55563234323769,20.8275140977444,5.59516425327072,153.677368421053,24.2668421052632,1.3446286742091,75.7638580827068,8.48993706482178
"3",2015,3,396.669289344965,1.51136501148267,390.554201049581,1.50799323127839,0.318060459026486,0.17564264597612,10.2299,0.672845205479452,0.148623004708484,2.46607146214286,1.29258665466507,29.4099035194752,3.59915493399904,18.5485229202037,4.15585698191202,129.749210526316,23.8789006791171,1.25503614940241,77.4525509337861,5.9868613218461
"4",2015,4,395.510671377182,1.70179943047858,389.376083081798,1.70356651643211,0.287392810079393,0.173903511976471,8.9532,0.685117566891892,0.12958239874671,2.39227275454545,1.33713533955887,28.1604403263035,3.49299555788393,17.2342807017544,3.28732085518702,56.6471052631579,23.2210263157895,1.41115937523583,75.7790131578947,5.06829099472525
"5",2015,5,397.771785137559,1.14207940272505,391.560106842174,1.13647065232732,0.23466108640035,0.13806794935548,11.1127,0.690574,0.10862263253728,2.15699661569966,1.14188346486211,26.9281720255223,3.67776571438836,13.8441893039049,3.47716296829115,48.9161842105263,20.9404329371817,1.34471362096681,74.5843590831919,5.91183549983748
"6",2015,6,398.529714999112,1.31528584048281,392.159891703728,1.32360625280183,0.188633997558126,0.133002084078256,10.2824,0.644464666666667,0.124125934176235,1.98881358440678,1.30979188144208,26.8334103074387,4.18849836934015,13.9907149122807,2.92384299268857,12.9244736842105,20.4498903508772,1.60173471874988,69.5047456140351,5.97092835463747
"7",2015,7,398.597574347245,1.01551772271902,391.984001051861,1.00349975827811,0.174397929963611,0.11918674238202,9.3108,0.567551006711409,0.142651638909054,1.73491527423729,1.33929415099483,27.8657437890094,4.52048040874005,13.9052292020374,3.61047578222232,16.6352631578947,20.8667826825127,1.27060517234863,65.6283022071307,6.45695883424739
"8",2015,8,398.517129217672,0.949508437676714,391.393500922288,0.974269654793478,0.170797776124759,0.122389231679757,8.7235,0.511837086092715,0.13825672719782,1.57736488378378,1.28006668789216,30.7583944331997,4.94642852411556,18.2917190152801,3.12743860171868,10.6568421052632,22.0607767402377,1.63152368319737,55.0666383701188,6.20880743016572
"9",2015,9,398.833991367177,0.967429812440636,391.009143071792,0.955996785171491,0.178005782751319,0.120596322484624,6.2756,0.513211184210526,0.150747606945891,1.59409724270833,1.29711551814503,33.180357444061,5.52293572721616,19.1806578947368,5.92018415176819,62.5322368421053,25.2490614035088,2.05521383680148,53.5994385964912,10.5214133534231
"10",2015,10,399.217546717683,0.895585035787697,390.792553422299,0.882850641783981,0.208591200194855,0.15269152635611,4.8842,0.523453947368421,0.159464522650684,1.74520550136986,1.28123808048956,34.1804398009764,5.83330855385809,21.6391511035654,5.1691609518448,56.9982894736842,26.9585865874363,1.94593622376187,53.2660696095076,10.644924286962
"11",2015,11,400.691046318641,0.992554701228632,391.977648023257,1.00086483936055,0.270806207672997,0.195292398724723,7.1186,0.551015333333333,0.179409871836263,1.76231886195652,1.22680387079845,33.5871393633513,5.46572427023176,19.7642631578947,5.34470767226195,167.8425,25.7043421052632,1.64438369811001,71.0244429824561,10.5408220554356
"12",2015,12,399.801394786509,1.25893437219122,390.985686491125,1.26252156805976,0.351276571215545,0.21144617618196,9.8273,0.656144594594595,0.141380278086469,2.25575542122302,1.41964784494779,32.5729732198213,4.94520724752772,21.6245203735144,4.7067831593463,144.303289473684,25.1801103565365,0.946426705886425,73.7363115449915,6.28910156311088
"13",2016,1,400.165396934991,1.43425062800522,391.246208639607,1.42354320313874,0.385111653865291,0.225184171228966,8.9878,0.644382638888889,0.167331522755495,2.28949582815126,1.376112909466,30.3476657763939,3.77204929218497,18.7600466893039,6.18708549255075,309.653289473684,23.9790407470289,1.42900363660639,83.0003353140917,7.24309498655315
"14",2016,2,400.344666985904,1.13224770029755,391.33746869052,1.1377044344095,0.380784378812712,0.204964918516224,12.3993,0.647236301369863,0.183926034938762,2.48804350543478,1.38013247371747,30.7115207917399,3.31121249886448,22.670335753176,4.05665782236385,98.8052631578947,24.7087840290381,0.972189264174262,77.5208575317604,5.0629772795562
"15",2016,3,400.34786769322,1.4534748846971,391.273069397836,1.45227789055059,0.332135132152049,0.191148157063637,12.5738,0.686830433333333,0.124597352785179,2.59137934103448,1.28484439224419,29.6920698571429,3.44891393532847,19.7629074702886,3.67077208495474,107.344473684211,24.3386587436333,0.935517531840652,77.3758234295416,5.22452425377844
"16",2016,4,400.401782455922,1.20913972630492,391.219019160538,1.20171095127941,0.268823980951798,0.162727040425861,12.0951,0.661552317880795,0.113998695802152,2.28750002871622,1.25415074096351,29.1063405071741,3.99957272548946,19.6473333333333,3.84007567707022,24.2593421052632,24.2517719298246,1.80280157825852,67.1677543859649,5.72864069167079
