"","lon","lat","xco2"
"1",-52.96,-22.52,388.83403691946
"2",-52.95,-22.51,390.019856401882
"3",-52.91,-22.5,390.368621265163
"4",-52.91,-22.49,390.904247886257
"5",-52.89,-22.5,390.279385815944
"6",-52.69,-22.42,388.289750054225
"7",-52.68,-22.53,390.1229037261
"8",-52.68,-22.5,390.070100386257
"9",-52.68,-22.46,390.994683521022
"10",-52.65,-22.5,390.847063267116
"11",-52.63,-22.43,391.901254155788
"12",-52.63,-22.35,392.400700894069
"13",-52.61,-22.39,390.193677573757
"14",-52.59,-22.49,391.6065843511
"15",-52.58,-22.53,391.023321724147
"16",-52.58,-22.31,389.098186870632
"17",-52.57,-22.33,390.466824556178
"18",-52.56,-22.28,392.851930142116
"19",-52.55,-22.3,392.73203450735
"20",-52.54,-22.4,389.330526323757
"21",-52.54,-22.31,392.170460425319
"22",-52.52,-22.3,391.966293110866
"23",-52.51,-22.46,391.990476880397
"24",-52.51,-22.4,391.253725923366
"25",-52.5,-22.49,391.416866021022
"26",-52.5,-22.4,393.356860532741
"27",-52.5,-22.3,390.871910171413
"28",-52.5,-22.28,391.422889185085
"29",-52.5,-22.26,390.460928745632
"30",-52.49,-22.42,390.886523765163
"31",-52.49,-22.37,391.129336128444
"32",-52.49,-22.36,390.564775737819
"33",-52.49,-22.26,390.470763335475
"34",-52.48,-22.54,392.493351001491
"35",-52.48,-22.35,392.682032056178
"36",-52.48,-22.3,389.781067271022
"37",-52.47,-22.56,391.209289204616
"38",-52.47,-22.52,391.005308511257
"39",-52.47,-22.32,391.971559121608
"40",-52.46,-22.44,391.467960522975
"41",-52.46,-22.4,391.179484585475
"42",-52.46,-22.32,391.209618892116
"43",-52.46,-22.23,389.078872661647
"44",-52.45,-22.54,389.808943755397
"45",-52.45,-22.42,390.998500688991
"46",-52.45,-22.32,390.979249624538
"47",-52.45,-22.22,389.222689019069
"48",-52.44,-22.58,390.75736231985
"49",-52.44,-22.5,389.705740034694
"50",-52.44,-22.46,390.26580535696
"51",-52.44,-22.32,390.6430759136
"52",-52.44,-22.3,390.61847754446
"53",-52.44,-22.29,389.59522575735
"54",-52.44,-22.27,391.344353853054
"55",-52.44,-22.21,389.403391528835
"56",-52.43,-22.58,391.317611948757
"57",-52.43,-22.46,390.608251030788
"58",-52.43,-22.44,390.159222114772
"59",-52.43,-22.36,390.125177954616
"60",-52.43,-22.27,391.95105325735
"61",-52.42,-22.54,389.587760278835
"62",-52.42,-22.46,389.57090544485
"63",-52.42,-22.44,389.651692202663
"64",-52.42,-22.39,391.433013774928
"65",-52.42,-22.38,393.802775454616
"66",-52.42,-22.33,387.859769185085
"67",-52.42,-22.28,390.250781782741
"68",-52.42,-22.26,390.318117017116
"69",-52.42,-22.25,389.821559243678
"70",-52.42,-22.2,388.131487837428
"71",-52.41,-22.52,390.780676548366
"72",-52.41,-22.43,388.898308560085
"73",-52.41,-22.3,390.858890903835
"74",-52.41,-22.26,388.056558784694
"75",-52.41,-22.2,389.001204224147
"76",-52.4,-22.5,393.545482573757
