"","lon","lat","xco2"
"140",-52.31,-22.29,390.716362586777
"141",-52.31,-22.27,391.069859297389
"142",-52.31,-22.26,391.71494138235
"143",-52.31,-22.23,390.650973784694
"144",-52.31,-22.19,389.801438901882
"145",-52.31,-22.14,389.727539985866
"146",-52.31,-22.08,390.469786118678
"147",-52.3,-22.59,389.600617993678
"148",-52.3,-22.54,391.278237593287
"149",-52.3,-22.44,391.208862642116
"150",-52.3,-22.36,391.159720005397
"151",-52.3,-22.33,391.019636392116
"152",-52.3,-22.31,389.603941938991
"153",-52.3,-22.27,392.359331196803
"154",-52.3,-22.26,391.047040181178
"155",-52.3,-22.18,391.117975151882
"156",-52.3,-22.01,392.81764013235
"157",-52.29,-22.37,391.720743247585
"158",-52.29,-22.31,392.407714053249
"159",-52.29,-22.3,391.30199723196
"160",-52.29,-22.25,390.722362329616
"161",-52.29,-22.12,390.638595903835
"162",-52.29,-22.05,389.430746206569
"163",-52.28,-22.41,391.761589087428
"164",-52.28,-22.39,392.637575674342
"165",-52.28,-22.35,390.017761499538
"166",-52.28,-22.33,391.814712192897
"167",-52.28,-22.31,391.5244096636
"168",-52.28,-22.29,391.324558970241
"169",-52.28,-22.09,391.338134487819
"170",-52.27,-22.49,390.859927192897
"171",-52.27,-22.45,390.599831265163
"172",-52.27,-22.38,393.078872417507
"173",-52.27,-22.35,389.894489605007
"174",-52.27,-22.24,390.919880024928
"175",-52.27,-22.18,390.964601733913
"176",-52.26,-22.47,389.703415786647
"177",-52.26,-22.42,392.473525952663
"178",-52.26,-22.41,388.732460591335
"179",-52.26,-22.37,390.023472749538
"180",-52.26,-22.34,393.063666948757
"181",-52.26,-22.28,389.94174200735
"182",-52.25,-22.41,391.255804272975
"183",-52.25,-22.4,392.066398872585
"184",-52.25,-22.39,389.221799761257
"185",-52.25,-22.32,390.661533071804
"186",-52.24,-22.52,391.851128862819
"187",-52.24,-22.49,391.31011316946
"188",-52.24,-22.45,389.935913491725
"189",-52.24,-22.44,392.118103579616
"190",-52.24,-22.43,389.311530571804
"191",-52.24,-22.41,385.172987495632
"192",-52.24,-22.4,389.949576235866
"193",-52.24,-22.36,389.972852017116
"194",-52.24,-22.32,390.702953355007
"195",-52.23,-22.44,389.394509067897
"196",-52.23,-22.42,389.779098315944
"197",-52.23,-22.4,389.213774839382
"198",-52.23,-22.33,389.683895728054
"199",-52.23,-22.3,391.229512573757
"200",-52.22,-22.51,390.382967896022
"201",-52.22,-22.46,388.596971812038
"202",-52.22,-22.44,388.65062051321
"203",-52.21,-22.52,388.082698716335
"204",-52.21,-22.5,388.957988032741
"205",-52.21,-22.43,386.40822731985
"206",-52.21,-22.34,390.582967368678
"207",-52.2,-22.42,388.623475728054
"208",-52.2,-22.4,390.154747114772
"209",-52.19,-22.56,389.466725190944
"210",-52.19,-22.44,389.810968999538
"211",-52.19,-22.42,390.057565688991
"212",-52.18,-22.5,389.369144634304
"213",-52.18,-22.48,390.928332876491
"214",-52.17,-22.5,390.3279843511
"215",-51.89,-21.41,392.510733550319
"216",-51.89,-21.39,394.068129185085
"217",-51.88,-21.45,392.88155504446
"218",-51.87,-21.48,394.78614363821
"219",-51.87,-21.42,390.986365864772
"220",-51.86,-21.43,392.950135972194
"221",-51.86,-21.41,391.013137710475
"222",-51.85,-21.57,392.954709282741
"223",-51.85,-21.46,392.696979204616
"224",-51.85,-21.4,390.401481821804
"225",-51.85,-21.38,391.707488306178
"226",-51.85,-21.34,393.696592329616
"227",-51.85,-21.31,392.869771655788
"228",-51.84,-21.64,393.04304301321
"229",-51.84,-21.53,390.529331489772
"230",-51.84,-21.44,392.670854956569
"231",-51.84,-21.39,392.718323247585
"232",-51.84,-21.33,392.389623940944
"233",-51.83,-21.49,391.334560376491
"234",-51.83,-21.43,392.516108247585
"235",-51.83,-21.41,392.770944683132
"236",-51.83,-21.39,391.316597778835
"237",-51.82,-21.58,393.976781421413
"238",-51.82,-21.38,392.920731685085
"239",-51.81,-21.51,391.320324526882
"240",-51.81,-21.41,392.620364224147
"241",-51.8,-21.52,393.084584165554
"242",-51.63,-22.43,393.380911050319
"243",-51.52,-20.7,389.13254316946
"244",-51.51,-20.72,388.310637026882
"245",-51.51,-20.68,389.403088228054
"246",-51.5,-20.76,389.531386528835
"247",-51.5,-20.63,389.920878774928
"248",-51.5,-20.61,388.398898188991
"249",-51.49,-20.85,389.141960845241
"250",-51.49,-20.65,390.213680278835
"251",-51.49,-20.59,388.619074585475
"252",-51.48,-20.7,389.517347241725
"253",-51.48,-20.68,389.059498745632
"254",-51.48,-20.63,390.936200835475
"255",-51.47,-22.67,392.774937739772
"256",-51.47,-22.3,392.246365864772
"257",-51.47,-20.91,390.297648071804
"258",-51.47,-20.8,389.786094165554
"259",-51.46,-20.89,388.79258888235
"260",-51.46,-20.81,388.951782026882
"261",-51.45,-22.65,391.716962271022
"262",-51.45,-21,389.141102026882
"263",-51.45,-20.98,388.700137681178
"264",-51.45,-20.7,389.015951362819
"265",-51.45,-20.68,388.107449790554
"266",-51.45,-20.65,389.528599097194
"267",-51.45,-20.63,389.54240770071
"268",-51.45,-20.54,387.875322759304
"269",-51.44,-21.13,388.527342827663
"270",-51.44,-20.94,390.584346060085
"271",-51.44,-20.74,389.785010190944
"272",-51.43,-21.14,390.130882241725
"273",-51.43,-20.51,391.729374121608
"274",-51.42,-21.13,389.441718433132
"275",-51.42,-21.11,388.227674868678
"276",-51.42,-21.07,388.763189399928
"277",-51.42,-21.05,391.606404741725
"278",-51.42,-20.85,389.766816187038
"279",-51.41,-21.24,389.917436772975
"280",-51.41,-21.16,389.857110249538
"281",-51.41,-21.13,388.195113813991
"282",-51.41,-21.11,388.114889829616
"283",-51.41,-20.89,389.452661509304
"284",-51.41,-20.81,390.172248940944
"285",-51.4,-22.5,394.182347915554
"286",-51.4,-21.29,390.21674645071
"287",-51.4,-21,389.494686616725
"288",-51.4,-20.89,390.155062017116
"289",-51.4,-20.87,390.393258442897
"290",-51.4,-20.81,390.527328892116
"291",-51.39,-22.54,392.213705327663
"292",-51.39,-21.35,390.353276567897
"293",-51.39,-21.33,387.486026831569
"294",-51.39,-21.18,388.749909927272
"295",-51.39,-21.14,391.805389683132
"296",-51.39,-21,390.141972378444
"297",-51.39,-20.98,390.128887065944
