"","lon","lat","xco2"
"1",-52.81,-22.54,390.724849136257
"2",-52.81,-22.5,390.718675454616
"3",-52.8,-22.55,391.000125620632
"4",-52.79,-22.52,391.28263356985
"5",-52.79,-22.48,390.711793140163
"6",-52.79,-22.45,387.391911411647
"7",-52.78,-22.46,392.142380308132
"8",-52.77,-22.5,390.966211460475
"9",-52.76,-22.55,392.26102832571
"10",-52.76,-22.48,389.501504438991
"11",-52.75,-22.5,392.556002105007
"12",-52.75,-22.46,390.630516899928
"13",-52.75,-22.43,391.340107222194
"14",-52.74,-22.43,388.796139321804
"15",-52.72,-22.57,391.811298706569
"16",-52.72,-22.51,390.081286519069
"17",-52.71,-22.59,392.915829341335
"18",-52.71,-22.56,389.300130396022
"19",-52.67,-22.54,388.547620024928
"20",-52.65,-22.32,390.102533394069
"21",-52.62,-22.31,390.813478823757
"22",-52.61,-22.51,390.747178989772
"23",-52.6,-22.55,388.45339419485
"24",-52.6,-22.54,390.768116245632
"25",-52.59,-22.55,390.705861587428
"26",-52.59,-22.54,391.070248198757
"27",-52.59,-22.3,386.468851743678
"28",-52.58,-22.53,393.340641870632
"29",-52.57,-22.49,391.15935832571
"30",-52.57,-22.3,392.185564995632
"31",-52.56,-22.52,390.2616296636
"32",-52.56,-22.49,393.53497660696
"33",-52.54,-22.51,390.726879067897
"34",-52.53,-22.56,390.644938374538
"35",-52.53,-22.3,393.0049037261
"36",-52.52,-22.34,392.395041646022
"37",-52.51,-22.52,391.451184468288
"38",-52.51,-22.34,393.614257339382
"39",-52.51,-22.27,392.776783628444
"40",-52.5,-22.52,392.643588335475
"41",-52.5,-22.32,393.018621978054
"42",-52.5,-22.31,391.241422886257
"43",-52.5,-22.29,391.721585259304
"44",-52.49,-22.59,392.918170845241
"45",-52.49,-22.43,393.346635239772
"46",-52.49,-22.25,390.745990220241
"47",-52.47,-22.45,392.562555034694
"48",-52.47,-22.39,389.414919702663
"49",-52.47,-22.38,392.707351812038
"50",-52.45,-22.4,392.81404919485
"51",-52.45,-22.38,389.910594136257
"52",-52.45,-22.3,390.86923723196
"53",-52.44,-22.58,391.82218513235
"54",-52.44,-22.51,393.035967495632
"55",-52.44,-22.45,391.414066411647
"56",-52.44,-22.42,391.991699946804
"57",-52.44,-22.3,391.296155562038
"58",-52.43,-22.49,392.49646981985
"59",-52.43,-22.33,392.020827173366
"60",-52.42,-22.51,392.140101401882
"61",-52.42,-22.37,392.460975474147
"62",-52.41,-22.43,391.022683218288
"63",-52.4,-22.48,391.591798804225
"64",-52.4,-22.4,391.2721212261
"65",-52.4,-22.37,391.643634292507
"66",-52.39,-22.46,392.155262690944
"67",-52.38,-22.53,392.096829458522
"68",-52.38,-22.43,388.74552575735
"69",-52.36,-22.12,392.439640220241
"70",-52.35,-22.14,388.558560493678
"71",-52.33,-22.24,388.136091001491
"72",-52.33,-22.1,389.497448442897
"73",-52.31,-22.05,389.919124478054
"74",-52.3,-22.16,390.426000063991
"75",-52.29,-22.08,390.672596753444
"76",-52.26,-22.34,393.692861626491
"77",-51.44,-20.69,389.187359966335
"78",-51.44,-20.6,387.609882563991
"79",-51.44,-20.52,392.984684653835
"80",-51.43,-20.59,388.909267935085
