"","lon","lat","xco2"
"1",-52.69,-22.48,390.822878315944
"2",-52.68,-22.53,389.533738862819
"3",-52.68,-22.49,391.032967993678
"4",-52.67,-22.36,390.526619136257
"5",-52.66,-22.38,391.98026419485
"6",-52.66,-22.36,389.732132437038
"7",-52.65,-22.55,389.208231646022
"8",-52.65,-22.46,390.175621812038
"9",-52.64,-22.53,390.56981856985
"10",-52.64,-22.47,390.118775493678
"11",-52.63,-22.54,390.6892802886
"12",-52.63,-22.35,390.248992798366
"13",-52.62,-22.57,390.276934644069
"14",-52.62,-22.53,389.935396567897
"15",-52.61,-22.44,390.944513452663
"16",-52.61,-22.37,390.420106118678
"17",-52.61,-22.3,390.671776655788
"18",-52.6,-22.42,391.260942290554
"19",-52.59,-22.55,391.804186899928
"20",-52.51,-22.26,392.054913921413
"21",-52.5,-22.31,391.984020415554
"22",-52.5,-22.26,391.955592690944
"23",-52.49,-22.44,392.055517573757
"24",-52.49,-22.28,390.490738589382
"25",-52.49,-22.26,388.683425376491
"26",-52.49,-22.25,388.634788286647
"27",-52.48,-22.41,391.880691470241
"28",-52.48,-22.4,392.203389897975
"29",-52.48,-22.3,389.741303765163
"30",-52.48,-22.26,390.640315083522
"31",-52.48,-22.25,391.108608999538
"32",-52.47,-22.25,393.786730210475
"33",-52.47,-22.24,392.18549626028
"34",-52.47,-22.23,392.072262549342
"35",-52.47,-22.22,392.960224605007
"36",-52.46,-22.39,393.476752876491
"37",-52.46,-22.38,389.681299478054
"38",-52.46,-22.34,393.939825405788
"39",-52.46,-22.32,392.640806245632
"40",-52.46,-22.29,390.55843941946
"41",-52.46,-22.27,390.883863472194
"42",-52.46,-22.24,392.905943315944
"43",-52.46,-22.23,392.13007172903
"44",-52.46,-22.22,389.826300557155
"45",-52.45,-22.41,391.68845645071
"46",-52.45,-22.39,389.0273462261
"47",-52.45,-22.35,389.76215638235
"48",-52.45,-22.33,392.873379946804
"49",-52.45,-22.32,389.453103687038
"50",-52.45,-22.31,392.2517515386
"51",-52.45,-22.3,391.665134312038
"52",-52.45,-22.28,392.593452446804
"53",-52.45,-22.25,391.775704609889
"54",-52.45,-22.24,393.139227612819
"55",-52.45,-22.23,390.56550856985
"56",-52.45,-22.21,390.137587661647
"57",-52.44,-22.58,392.690270942897
"58",-52.44,-22.53,392.459992026882
"59",-52.44,-22.5,390.627206719264
"60",-52.44,-22.41,393.535057310085
"61",-52.44,-22.38,390.744800347194
