"","lon","lat","xco2"
"1",-52.9,-22.49,390.836952241725
"2",-52.88,-22.53,390.716290093288
"3",-52.88,-22.5,390.394100161647
"4",-52.87,-22.55,390.364842935085
"5",-52.87,-22.48,389.271000181178
"6",-52.86,-22.54,390.0157602886
"7",-52.86,-22.49,389.661122241725
"8",-52.85,-22.54,389.849935698757
"9",-52.85,-22.48,389.429007329616
"10",-52.85,-22.44,388.958343237819
"11",-52.84,-22.52,390.345762720241
"12",-52.83,-22.58,389.376617192897
"13",-52.83,-22.57,391.056373657741
"14",-52.83,-22.54,388.775221938991
"15",-52.83,-22.52,389.631537251491
"16",-52.82,-22.53,389.574271616725
"17",-52.81,-22.59,390.930078433132
"18",-52.81,-22.57,389.4662643511
"19",-52.81,-22.53,392.058930376491
"20",-52.81,-22.49,389.100182212428
"21",-52.79,-22.54,390.157845776882
"22",-52.7,-22.5,392.623909282741
"23",-52.7,-22.48,390.728210435085
"24",-52.69,-22.55,390.509567847194
"25",-52.68,-22.45,390.004378657741
"26",-52.62,-22.44,391.823753042507
"27",-52.62,-22.32,392.002130874538
"28",-52.61,-22.3,389.317597808132
"29",-52.6,-22.34,390.153765991725
"30",-52.59,-22.33,390.452754634304
"31",-52.59,-22.31,389.388552378444
"32",-52.58,-22.33,390.64645763235
"33",-52.58,-22.31,389.813853276882
"34",-52.58,-22.29,390.029489282741
"35",-52.56,-22.29,391.077226704616
"36",-52.54,-22.26,390.450982212428
"37",-52.53,-22.32,393.464808003444
"38",-52.5,-22.27,392.262376978054
"39",-52.49,-22.26,392.443216216335
"40",-52.47,-22.35,393.586275894069
"41",-52.4,-22.4,391.459300181178
"42",-52.4,-22.2,389.898600103054
"43",-52.39,-22.24,390.17169638235
"44",-52.39,-22.17,390.396653706569
"45",-52.39,-22.16,390.764450884304
"46",-52.38,-22.21,388.805766831569
"47",-52.38,-22.19,391.374462637233
"48",-52.38,-22.17,390.886761541855
"49",-52.37,-22.18,390.177546626491
"50",-52.37,-22.17,393.483769409694
"51",-52.37,-22.15,390.15858082571
"52",-52.36,-22.33,390.60041645071
"53",-52.36,-22.29,391.088306274928
"54",-52.36,-22.22,390.078656216335
"55",-52.36,-22.2,389.612323833522
"56",-52.36,-22.19,391.717052256373
"57",-52.36,-22.17,391.426312739772
"58",-52.36,-22.15,389.926767251491
"59",-52.36,-22.14,390.227608911647
"60",-52.35,-22.31,391.381731362819
"61",-52.35,-22.25,391.443520327663
"62",-52.35,-22.2,388.985226050319
"63",-52.34,-22.41,392.868133706569
"64",-52.34,-22.25,393.73390301321
"65",-52.34,-22.24,390.321248374538
"66",-52.34,-22.23,392.1535874761
"67",-52.34,-22.21,390.888596841335
"68",-52.34,-22.19,390.397421724147
"69",-52.33,-22.31,392.027736812038
"70",-52.33,-22.25,391.481531997585
"71",-52.33,-22.21,391.322242271022
"72",-52.33,-22.17,390.183566519069
"73",-52.33,-22.16,392.042717339382
"74",-52.33,-22.15,389.376131235866
"75",-52.33,-22.11,392.514552515163
"76",-52.33,-22.1,391.417769243678
"77",-52.32,-22.37,393.205348892116
"78",-52.32,-22.31,392.078841748561
"79",-52.32,-22.25,392.605248833522
"80",-52.32,-22.23,389.847299829616
"81",-52.32,-22.2,391.044854771022
"82",-52.32,-22.17,392.736348745632
"83",-52.32,-22.14,390.847053286647
"84",-52.32,-22.1,389.522269360866
"85",-52.32,-22.08,390.792974937038
"86",-52.31,-22.38,391.117155942897
"87",-52.31,-22.35,390.392880835475
"88",-52.31,-22.25,388.854306841335
"89",-52.31,-22.22,392.238207417507
"90",-52.31,-22.21,392.638198687038
"91",-52.31,-22.19,392.985686489772
"92",-52.31,-22.12,392.041568501491
"93",-52.3,-22.47,389.309812964382
"94",-52.3,-22.38,390.551093315944
"95",-52.3,-22.31,390.122103667507
"96",-52.3,-22.29,391.955568042507
"97",-52.3,-22.2,389.657991362819
"98",-52.3,-22.16,390.069489185085
"99",-52.29,-22.37,390.122787036647
"100",-52.29,-22.35,392.315753560085
"101",-52.29,-22.32,389.663555894069
"102",-52.29,-22.29,387.901832578639
"103",-52.29,-22.26,391.492045903835
"104",-52.29,-22.18,392.052396714382
"105",-52.28,-22.37,391.153965220241
"106",-52.28,-22.35,390.711569399928
"107",-52.28,-22.31,392.363688745632
"108",-52.28,-22.24,390.585512002467
"109",-52.27,-22.37,390.585319380397
"110",-52.27,-22.36,391.315412563991
"111",-52.27,-22.34,390.189367036647
"112",-52.26,-22.47,389.508586670436
"113",-52.26,-22.45,389.619942173366
"114",-52.26,-22.4,391.18096004446
"115",-52.26,-22.32,390.421834087428
"116",-52.25,-22.51,391.599938501491
"117",-52.25,-22.45,391.362745103054
"118",-52.25,-22.41,390.799924067897
"119",-52.25,-22.39,391.59190832571
"120",-52.24,-22.46,390.272573589382
"121",-52.24,-22.44,390.123969067897
"122",-52.24,-22.4,391.371855425319
"123",-52.24,-22.38,392.38929419485
"124",-52.23,-22.53,391.94268770071
"125",-52.23,-22.5,390.534412456569
"126",-52.23,-22.44,391.992955679225
"127",-52.22,-22.52,392.113204067897
"128",-52.21,-22.56,393.480720532741
"129",-52.21,-22.52,392.921958335475
"130",-51.68,-22.49,391.50095606985
"131",-51.67,-22.51,391.841456548366
"132",-51.67,-22.37,392.213960835475
"133",-51.65,-22.54,391.479129272975
"134",-51.65,-22.47,391.649645640163
"135",-51.64,-22.6,392.2953231011
"136",-51.64,-22.52,390.788158198757
"137",-51.63,-22.63,390.295216890163
"138",-51.62,-22.55,392.13000145071
"139",-51.62,-22.51,389.386829458522
"140",-51.61,-22.58,389.222821265163
"141",-51.6,-22.6,390.894651089382
"142",-51.59,-21.09,389.896753081569
"143",-51.58,-22.62,392.077795005397
"144",-51.49,-20.58,390.977893687038
"145",-51.47,-20.66,389.208752437038
"146",-51.47,-20.58,390.547603765163
"147",-51.47,-20.55,390.907664810085
"148",-51.46,-20.69,391.887440786647
"149",-51.43,-20.86,390.933798188991
"150",-51.42,-20.84,389.727674536647
"151",-51.41,-20.82,390.707608628444
"152",-51.41,-20.6,390.82675598196
"153",-51.37,-20.88,388.908507046413
"154",-51.36,-21.19,391.558624214382
"155",-51.36,-20.49,391.123091616725
"156",-51.35,-20.89,388.987830161647
"157",-51.35,-20.82,391.196996440944
"158",-51.35,-20.55,391.009203618678
"159",-51.35,-20.51,391.306511392116
"160",-51.34,-20.61,390.294651587428
"161",-51.34,-20.53,392.140580591335
"162",-51.34,-20.49,392.473593931178
"163",-51.34,-20.47,392.20886066946
"164",-51.34,-20.44,392.066725103054
"165",-51.34,-20.43,391.772213960475
"166",-51.33,-21.04,390.64983332571
"167",-51.33,-20.65,393.272008745632
"168",-51.33,-20.51,390.238739780788
"169",-51.33,-20.49,391.647063774928
"170",-51.32,-20.97,393.943373980007
"171",-51.32,-20.63,391.677327358913
"172",-51.32,-20.59,392.156474722194
"173",-51.32,-20.47,391.461401558132
"174",-51.32,-20.45,390.040029497585
