"","Latitude","Longitude","Date","MODIS_Tile","MOD13A1_006_Line_Y_500m","MOD13A1_006_Sample_X_500m","MOD13A1_006__500m_16_days_NDVI","MOD13A1_006__500m_16_days_VI_Quality","MOD13A1_006__500m_16_days_VI_Quality_bitmask","MOD13A1_006__500m_16_days_VI_Quality_MODLAND","MOD13A1_006__500m_16_days_VI_Quality_MODLAND_Description","MOD13A1_006__500m_16_days_VI_Quality_VI_Usefulness","MOD13A1_006__500m_16_days_VI_Quality_VI_Usefulness_Description","MOD13A1_006__500m_16_days_VI_Quality_Aerosol_Quantity","MOD13A1_006__500m_16_days_VI_Quality_Aerosol_Quantity_Description","MOD13A1_006__500m_16_days_VI_Quality_Adjacent_cloud_detected","MOD13A1_006__500m_16_days_VI_Quality_Adjacent_cloud_detected_Description","MOD13A1_006__500m_16_days_VI_Quality_Atmosphere_BRDF_Correction","MOD13A1_006__500m_16_days_VI_Quality_Atmosphere_BRDF_Correction_Description","MOD13A1_006__500m_16_days_VI_Quality_Mixed_Clouds","MOD13A1_006__500m_16_days_VI_Quality_Mixed_Clouds_Description","MOD13A1_006__500m_16_days_VI_Quality_Land.Water_Mask","MOD13A1_006__500m_16_days_VI_Quality_Land.Water_Mask_Description","MOD13A1_006__500m_16_days_VI_Quality_Possible_snow.ice","MOD13A1_006__500m_16_days_VI_Quality_Possible_snow.ice_Description","MOD13A1_006__500m_16_days_VI_Quality_Possible_shadow","MOD13A1_006__500m_16_days_VI_Quality_Possible_shadow_Description","lon","lat","flag_br","flag_norte","flag_nordeste","flag_sul","flag_sudeste","flag_centroeste"
"4709",-20.24708176,-50.48970795,"2019-02-02","h13v11",59,631,0.75,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4710",-20.24708176,-50.48970795,"2019-02-18","h13v11",59,631,0.7442,3226,"0b0000110010011010","0b10","Pixel produced, but most probably cloudy","0b0110","Decreasing quality (0110)","0b10","Average","0b0","No","0b0","No","0b1","Yes","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4711",-20.24708176,-50.48970795,"2019-03-06","h13v11",59,631,0.78,2120,"0b0000100001001000","0b00","VI produced with good quality","0b0010","Decreasing quality (0010)","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4712",-20.24708176,-50.48970795,"2019-03-22","h13v11",59,631,0.7451,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4713",-20.24708176,-50.48970795,"2019-04-07","h13v11",59,631,0.7326,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4714",-20.24708176,-50.48970795,"2019-04-23","h13v11",59,631,0.7028,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4715",-20.24708176,-50.48970795,"2019-05-09","h13v11",59,631,0.7042,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4716",-20.24708176,-50.48970795,"2019-05-25","h13v11",59,631,0.6322,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4717",-20.24708176,-50.48970795,"2019-06-10","h13v11",59,631,0.6021,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"4718",-20.24708176,-50.48970795,"2019-06-26","h13v11",59,631,0.5303,2116,"0b0000100001000100","0b00","VI produced with good quality","0b0001","Lower quality","0b01","Low","0b0","No","0b0","No","0b0","No","0b001","Land (Nothing else but land)","0b0","No","0b0","No",-50.48970795,-20.24708176,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
